"Location","Species","lmax","k","k_sd","linf","linf_sd","t0","t0_sd"
"Moorea","Cephalopholis argus",60,0.19215616961293,0.12828164855861,41.8636106933605,10.2795259120035,-0.78751072472981,0.636077310022706
"Tuamotu","Cephalopholis argus",60,0.198975010781833,0.0598308797160476,34.9975508038868,5.05762348588951,-0.525595786025961,0.206311601749911
"Gambiers","Cephalopholis argus",60,0.200286314242402,0.0222489912436588,42.8763582199184,1.61242810010678,-0.650763402987609,0.169973840172684
"Hao","Cephalopholis argus",60,0.19594985017472,0.0547088787587025,43.4677180644194,6.10797127992419,-0.29021795450344,0.0968934555536981
"Gambiers","Cephalopholis urodeta",28,0.141594390114979,0.0321814787288567,21.1183483968248,2.05986043269711,-0.686073633046184,0.184823168828193
"Marquesas","Epinephelus fasciatus",40,0.551617154000458,0.0789325008593882,22.1260741254719,1.91604505215453,-0.0506115123480398,0.0351342994222994
"Hao","Epinephelus hexagonatus",27.5,0.527132055321941,0.0596894803986544,21.6601893657425,1.05102462660981,-0.0906475795633121,0.052593201029306
"Moorea","Epinephelus merra",32,1.1297403391802,0.0934654748814903,14.2664766984884,0.897957203209301,-0.0177034631132649,0.0148263516004779
"Gambiers","Epinephelus merra",32,0.598841255133245,0.0753486665351296,18.6853419149923,0.90995773129772,-0.111649642814304,0.0581975882414946
"Hao","Epinephelus merra",32,0.790626142722055,0.0768395289060344,22.5771500870689,0.611675931399725,-0.0499086568819961,0.0352849319013841
"Hao","Epinephelus polyphekadion",90,0.153162650956692,0.0209922379169704,54.9376085790241,5.68592230558948,-0.411536307810316,0.0941189727718749
"Gambiers","Plectropomus laevis",125,0.156362822637069,0.0128581599151492,91.5080406529993,3.97768067073124,-0.558017149547493,0.118234967154877
"Hao","Plectropomus laevis",125,0.274465510582437,0.0295446866623744,91.7416097423453,5.66437453436912,-0.0261834155889401,0.0256050950299228
"Gambiers","Siganus argenteus",40,0.224699851741127,0.054638261481991,33.0017536400496,4.32722720506455,-0.332865323380304,0.217421026998898
