"age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq","Species"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.8754146013091,11.8599908573671,13.897271462027,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,16.9809896769086,15.8177288865702,18.142353019063,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,18.3759635996644,16.6721462492726,20.0099648906187,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,18.8625068540245,16.8584393784749,20.8723611881428,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.49737593657981,-0.572410660092426,1.51215490780752,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.8924109783365,11.9878187657131,13.7895478829316,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,16.103252756094,15.391650499402,16.8194655152489,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,16.9522538261316,16.112677091146,17.7844318357677,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,17.181152655055,16.248286765451,18.1242826111777,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,17.2440184338249,16.2782946537753,18.226381170552,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,17.2615919563021,16.282877768878,18.2579952224918,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,17.2665883231195,16.2869943683958,18.2699389020779,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,17.2680321281473,16.288094128133,18.2722451108324,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,17.2684559206325,16.2883857478307,18.272836877784,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,17.2685822018168,16.2884630786357,18.2729970944244,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,17.268620381196,16.288483585728,18.2730429690136,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,17.2686320869128,16.2884890241235,18.2730561110664,"Acanthurus achilles"
13,18.4986692971803,16.9345104986808,20.2046010079756,17.2686357246125,16.2884904664114,18.2730598781079,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.46745328048809,-0.528331486258794,1.42039226454425,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.9147184139214,11.9771004302394,13.9115112174755,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,16.7247091862652,15.9754718366221,17.4811454103597,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,17.9082223943464,17.0737395264912,18.7152065119185,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,18.281093297762,17.3347246694164,19.2376823438309,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,18.400175920246,17.3984364379806,19.4234486967517,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,18.4387092324706,17.4107549061421,19.4967409429246,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,18.4513372664495,17.41284319991,19.5177992980094,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,18.4555268926171,17.4135363068235,19.5295576790637,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,18.4569335722287,17.4137073704568,19.5321739339832,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,18.4574113703031,17.4137495948283,19.5330527641672,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,18.4575754965954,17.4137600183043,19.5333548882033,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,18.4576324941813,17.4137625916729,19.5334591643457,"Acanthurus achilles"
14,18.498679741741,16.9345107790617,20.2046331760497,18.457659593572,17.4137633839319,19.5335075813321,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.452053367522078,-0.50075178404552,1.38550527577146,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.8716354736182,11.8617581412779,13.9155310306166,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,16.9997426130903,15.8701268493377,18.1108364251332,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,18.409509230814,16.7996558818551,20.0160332846054,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,18.9034350663069,17.0143554397706,20.9694700001209,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.517612864164275,-0.609330758621418,1.56036954549642,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.8300539494021,11.9410221559619,13.6960994902948,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,15.6542207244503,14.9811734171179,16.310333647571,"Acanthurus achilles"
