"Location","Species","lmax","age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq"
"Moorea","Odonus niger",50,0,1.05097827262785,0.103791566198463,2.01818119394696,1.19760779658702,0.121741140953749,2.29253691709984
"Moorea","Odonus niger",50,1,10.4046163582399,9.59688483459069,11.1855968276132,10.9465207659626,10.1459905530281,11.8189957146099
"Moorea","Odonus niger",50,2,15.9181185780332,15.1804890569977,16.6197227305265,15.7249075363144,14.992376097693,16.4398887687865
"Moorea","Odonus niger",50,3,19.1820595870225,18.4908019750129,19.9254268628222,18.0896184452954,16.9895011307992,19.0529710167035
"Moorea","Odonus niger",50,4,21.1224946072163,20.0854644848839,22.2038568339619,19.2707034446253,17.7716541809322,20.6859810097062
"Moorea","Odonus niger",50,5,22.2809433212132,20.8596356280208,23.7977630576959,19.8658793374211,18.0640236935542,21.6636394536471
"Moorea","Odonus niger",50,6,22.9754218466725,21.2561484603581,24.9016181248269,20.1683916161748,18.1824309249236,22.2302332697825
"Moorea","Odonus niger",50,0,1.05097827262785,0.103791566198463,2.01818119394696,1.16295899227661,0.119094259678861,2.2263683383332
"Moorea","Odonus niger",50,1,10.4046163582399,9.59688483459069,11.1855968276132,10.8400163713835,9.95995547550356,11.7431427759152
"Moorea","Odonus niger",50,2,15.9181185780332,15.1804890569977,16.6197227305265,15.8000015813735,15.0896568587668,16.5025711487738
"Moorea","Odonus niger",50,3,19.1820595870225,18.4908019750129,19.9254268628222,18.3721469756173,17.1598614617132,19.401302843479
"Moorea","Odonus niger",50,4,21.1224946072163,20.0854644848839,22.2038568339619,19.7210949221194,17.9287582223331,21.355654222988
"Moorea","Odonus niger",50,5,22.2809433212132,20.8596356280208,23.7977630576959,20.4362599192765,18.2417750610639,22.6292996476178
"Moorea","Odonus niger",50,0,1.05097827262785,0.103791566198463,2.01818119394696,1.01858205243208,0.104557636148962,1.95637077936664
"Moorea","Odonus niger",50,1,10.4046163582399,9.59688483459069,11.1855968276132,10.2411069789926,9.30686912639501,11.0922735671376
"Moorea","Odonus niger",50,2,15.9181185780332,15.1804890569977,16.6197227305265,15.8768786591104,15.0382629867292,16.6551490098998
"Moorea","Odonus niger",50,3,19.1820595870225,18.4908019750129,19.9254268628222,19.3373939152656,18.5541296245197,20.0981789612297
"Moorea","Odonus niger",50,4,21.1224946072163,20.0854644848839,22.2038568339619,21.4723356385432,20.2757446085594,22.5512155703968
"Moorea","Odonus niger",50,5,22.2809433212132,20.8596356280208,23.7977630576959,22.7956563540346,21.1344834703689,24.3382853842751
"Moorea","Odonus niger",50,6,22.9754218466725,21.2561484603581,24.9016181248269,23.6197104735922,21.5850525971955,25.6325056795704
"Moorea","Odonus niger",50,0,1.05097827262785,0.103791566198463,2.01818119394696,1.07037572343624,0.109532432654885,2.04459369965528
"Moorea","Odonus niger",50,1,10.4046163582399,9.59688483459069,11.1855968276132,10.4967567549118,9.81884071752722,11.2036420324976
"Moorea","Odonus niger",50,2,15.9181185780332,15.1804890569977,16.6197227305265,15.9472840374428,15.2500883428464,16.649464683638
"Moorea","Odonus niger",50,3,19.1820595870225,18.4908019750129,19.9254268628222,19.1062572799634,18.4461192551901,19.7598655345846
"Moorea","Odonus niger",50,4,21.1224946072163,20.0854644848839,22.2038568339619,20.9413411742081,20.1793741291357,21.6676888411281
"Moorea","Odonus niger",50,5,22.2809433212132,20.8596356280208,23.7977630576959,22.0097996345431,21.0772623462486,22.899788160345
"Moorea","Odonus niger",50,6,22.9754218466725,21.2561484603581,24.9016181248269,22.6333058929781,21.5458975041818,23.707889257241
"Moorea","Odonus niger",50,7,23.3934765574966,21.4638255744055,25.6325568561864,22.9979722097712,21.7891430989453,24.2327364784742
"Moorea","Odonus niger",50,8,23.6461690779666,21.5675693543138,26.0901285052875,23.211725499725,21.9251854324613,24.5555606820278
"Moorea","Odonus niger",50,9,23.7995368525526,21.6149593117862,26.4210905233478,23.3372947762201,21.9933980630783,24.7580913349718
"Moorea","Odonus niger",50,10,23.8930043934017,21.6457743789572,26.6424366408521,23.411221068026,22.0280546278496,24.8847461669851
"Moorea","Odonus niger",50,11,23.9502023143874,21.659389548786,26.7851475002269,23.4548376183276,22.044770666551,24.9704388374864
"Moorea","Odonus niger",50,0,1.05097827262785,0.103791566198463,2.01818119394696,1.12373549868199,0.10845044896361,2.18649084405104
"Moorea","Odonus niger",50,1,10.4046163582399,9.59688483459069,11.1855968276132,10.5689655299117,8.87382193114992,11.8093467884065
"Moorea","Odonus niger",50,2,15.9181185780332,15.1804890569977,16.6197227305265,15.5645997622187,14.2161057730203,16.4410992832249
"Moorea","Odonus niger",50,3,19.1820595870225,18.4908019750129,19.9254268628222,18.3215927929961,15.5180427866412,19.9277480479689
"Moorea","Caranx melampygus",117,0,4.28813386038229,1.07418947651332,7.12096172855118,5.40385423530369,1.87403860126612,8.15002344384708
"Moorea","Caranx melampygus",117,1,11.4720894690235,8.59215562108244,14.2692626792342,14.3230681516855,11.824582238685,17.2908521817415
"Moorea","Caranx melampygus",117,2,18.0668387916114,15.2456409067306,20.9957181046267,21.8430846863561,18.7010273654272,25.1489301627279
"Moorea","Caranx melampygus",117,3,24.1212188603763,21.2190786186331,27.3461750724417,28.2330909487207,24.7317709303605,31.4423413811075
"Moorea","Caranx melampygus",117,4,29.679975211469,26.5863650018207,33.1877983198854,33.6970394141901,29.9613350849897,36.9899073448291
"Moorea","Caranx melampygus",117,0,4.28813386038229,1.07418947651332,7.12096172855118,3.67165644282672,0.966320153908186,6.086837030377
"Moorea","Caranx melampygus",117,1,11.4720894690235,8.59215562108244,14.2692626792342,9.94825036748718,7.64542363183608,12.0549761564233
"Moorea","Caranx melampygus",117,2,18.0668387916114,15.2456409067306,20.9957181046267,15.8413066300264,13.8093706283215,17.8350056102501
"Moorea","Caranx melampygus",117,3,24.1212188603763,21.2190786186331,27.3461750724417,21.3747911397167,19.5242708911529,23.3344949792022
"Moorea","Caranx melampygus",117,4,29.679975211469,26.5863650018207,33.1877983198854,26.5711384611863,24.7176834543554,28.5496181880151
"Moorea","Caranx melampygus",117,5,34.784108412492,31.5412103880231,38.5467965996721,31.4513518883974,29.600609519633,33.4472777470482
"Moorea","Caranx melampygus",117,6,39.4711909153958,36.1171289355472,43.4090481079247,36.035096827406,34.1798650818408,38.0032341051043
"Moorea","Caranx melampygus",117,7,43.7756568044887,40.3190372976112,47.8533093080984,40.3407879459263,38.5166719639962,42.2359008040936
"Moorea","Caranx melampygus",117,8,47.7290667842386,44.1884249707773,51.9156577721261,44.3856705155995,42.5470332341458,46.2251318826648
"Moorea","Caranx melampygus",117,9,51.3603505464187,47.7438086297314,55.6137192995101,48.1858963430523,46.3419255923383,49.9866817135557
"Moorea","Caranx melampygus",117,10,54.696028469172,51.096395274192,59.0445683371672,51.7565946581589,49.8922003731814,53.5391524911542
"Moorea","Caranx melampygus",117,11,57.7604144301209,54.1436827695243,62.1632649728451,55.1119383022291,53.1864177892659,56.932638591763
"Moorea","Caranx melampygus",117,12,60.5758013602481,56.969342863525,64.9943605052426,58.2652055349919,56.2290467231488,60.1937707108837
"Moorea","Caranx melampygus",117,13,63.1626310235819,59.5836146127117,67.6026623960819,61.2288377570926,59.0313993938821,63.3436456843067
"Moorea","Caranx melampygus",117,14,65.5396493785052,61.9161457104371,69.9980091263617,64.0144934242453,61.5772354727133,66.3938100709949
"Moorea","Caranx melampygus",117,15,67.7240487586691,64.0535305158193,72.215937789763,66.6330984100718,63.8965063849506,69.3359949527846
"Moorea","Caranx melampygus",117,0,4.28813386038229,1.07418947651332,7.12096172855118,3.66311403882081,1.43882881001899,5.92823847364433
"Moorea","Caranx melampygus",117,1,11.4720894690235,8.59215562108244,14.2692626792342,10.1326049258489,8.07734353388393,15.0959947909499
"Moorea","Caranx melampygus",117,2,18.0668387916114,15.2456409067306,20.9957181046267,16.017561613409,13.8441228265084,23.0697773239111
"Moorea","Caranx melampygus",117,3,24.1212188603763,21.2190786186331,27.3461750724417,21.4269523093876,19.0794755979702,28.1935686355077
"Moorea","Caranx melampygus",117,4,29.679975211469,26.5863650018207,33.1877983198854,26.4361366270585,23.9526705352543,31.5976647766161
"Moorea","Caranx melampygus",117,5,34.784108412492,31.5412103880231,38.5467965996721,31.0989411144117,28.5210684352158,34.2595412699138
"Moorea","Caranx melampygus",117,6,39.4711909153958,36.1171289355472,43.4090481079247,35.4552119106755,32.8168683168166,38.1334609744309
"Moorea","Caranx melampygus",117,7,43.7756568044887,40.3190372976112,47.8533093080984,39.5355719593397,35.6827679054825,42.4443999907958
"Moorea","Caranx melampygus",117,8,47.7290667842386,44.1884249707773,51.9156577721261,43.3644403963393,36.4544608177663,46.4823382733121
"Moorea","Caranx melampygus",117,0,4.28813386038229,1.07418947651332,7.12096172855118,5.77217399138582,2.00075025783171,8.69858038502887
"Moorea","Caranx melampygus",117,1,11.4720894690235,8.59215562108244,14.2692626792342,15.1292926369244,12.4417393784448,18.305545182911
"Moorea","Caranx melampygus",117,2,18.0668387916114,15.2456409067306,20.9957181046267,22.8103856732089,19.5088230183833,26.243007074307
"Moorea","Caranx melampygus",117,3,24.1212188603763,21.2190786186331,27.3461750724417,29.177587447901,25.5530162421622,32.5201492350293
"Moorea","Caranx melampygus",117,4,29.679975211469,26.5863650018207,33.1877983198854,34.4982224822662,30.5355727405831,37.9344252347124
"Moorea","Caranx melampygus",117,0,4.28813386038229,1.07418947651332,7.12096172855118,4.27891819765594,1.62884588546308,6.67371040730038
"Moorea","Caranx melampygus",117,1,11.4720894690235,8.59215562108244,14.2692626792342,11.6720166266559,9.57922801510276,15.2648268719841
"Moorea","Caranx melampygus",117,2,18.0668387916114,15.2456409067306,20.9957181046267,18.2652862117249,15.9462641094339,23.1213477018206
