"Species","Location","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Ostorhinchus apogonoides","Marquesas",3.6,8.19374839972392,0.110695038580865,7.97450418394912,8.4129821747886
"Ostorhinchus apogonoides","Marquesas",3.7,8.24951448887724,0.111474141757251,8.02918102596519,8.46897135128888
"Ostorhinchus apogonoides","Marquesas",3.8,8.30229501366091,0.112723011685942,8.08024534133831,8.52362026700958
"Ostorhinchus apogonoides","Marquesas",3.9,8.35225205469147,0.114407208312577,8.12648917820932,8.5770236084671
"Ostorhinchus apogonoides","Marquesas",4,8.39953876339053,0.116486861332278,8.16909261078398,8.62809205985657
"Ostorhinchus apogonoides","Marquesas",4.1,8.44429986161101,0.118918904665136,8.20914715821124,8.67822241394304
"Ostorhinchus apogonoides","Marquesas",4.2,8.48667211284139,0.121659087094121,8.24563859158377,8.72486959352503
"Ostorhinchus apogonoides","Marquesas",4.3,8.52678476663353,0.124663629973488,8.27904032952953,8.77193963386346
"Ostorhinchus apogonoides","Marquesas",4.4,8.56475997780251,0.127890482618188,8.3102247979681,8.81680968479074
"Ostorhinchus apogonoides","Marquesas",4.5,8.60071320185584,0.131300187776222,8.33817253778838,8.86032687764133
"Ostorhinchus apogonoides","Marquesas",4.6,8.63475356802332,0.134856407820476,8.36542329879895,8.9011632569933
"Ostorhinchus apogonoides","Marquesas",4.7,8.66698423117868,0.138526179229898,8.39026993043745,8.94087871565008
"Ostorhinchus apogonoides","Marquesas",4.8,8.69750270386785,0.142279964506615,8.4129151139474,8.97867466073994
"Ostorhinchus apogonoides","Marquesas",4.9,8.72640116958793,0.146091563259484,8.43642009981845,9.01548785148772
"Ostorhinchus apogonoides","Marquesas",5,8.75376677839364,0.149937932850949,8.45647390930409,9.05235552082843
"Ostorhinchus apogonoides","Marquesas",5.1,8.77968192584515,0.153798957080429,8.47389870371115,9.08618867071704
"Ostorhinchus apogonoides","Marquesas",5.2,8.80422451625197,0.157657190667203,8.49124578992214,9.11748074891745
"Ostorhinchus apogonoides","Marquesas",5.3,8.82746821111198,0.161497598530808,8.50773304588265,9.14781462519513
"Ostorhinchus apogonoides","Marquesas",5.4,8.84948266359203,0.165307302140856,8.52213623958163,9.17685721870346
"Ostorhinchus apogonoides","Marquesas",5.5,8.8703337398475,0.169075340296433,8.53461891380991,9.20452506788178
"Ostorhinchus apogonoides","Marquesas",5.6,8.8900837279319,0.172792448257017,8.54594945815679,9.23109862918078
"Ostorhinchus apogonoides","Marquesas",5.7,8.90879153500359,0.176450856835533,8.55687288688696,9.25740148949307
"Ostorhinchus apogonoides","Marquesas",5.8,8.92651287349624,0.180044111577117,8.56735569915594,9.28263464287058
