"age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq","Species","Location"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.3961998141389,12.7193854165534,14.245851260082,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.6458646596776,13.6878943099123,15.9286072743282,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.430539277515676,-0.313207780770994,1.16183830396724,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,10.0288147620527,9.36255011033447,10.7161684238127,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.100120172326,12.5139214199453,13.6760254354069,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.0993744324023,13.2350498572855,14.9115062867845,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,14.4296892453004,13.4174867212741,15.4178265460847,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,14.5405564777647,13.4681450232812,15.613781367989,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.426498181451081,-0.302332416396991,1.15973894209608,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,10.0248125477352,9.36925748380864,10.726116175214,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.1532437288282,12.6081141338102,13.7155049689686,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.1867222095051,13.4725071293533,14.8820121481318,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,14.5325218430798,13.6813320215487,15.3502132765586,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,14.6496415897779,13.7386751599022,15.5298396450771,"Abudefduf sexfasciatus","Gambiers"
6,14.8134494341569,14.0738965498907,15.6426708640239,14.6897720914998,13.7540048451909,15.6037759106571,"Abudefduf sexfasciatus","Gambiers"
7,14.8284666397466,14.0828268194097,15.671651280068,14.7036758405342,13.7582472597184,15.6283402580801,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.418851683696698,-0.306330574509964,1.13800197972826,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,10.0078242140648,9.32201173525243,10.727176856284,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.2655838445709,12.7736156817499,13.7809202637564,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.3828060160971,13.8863254056587,14.9047232012733,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,14.7694501355928,14.1806593042908,15.3814968139712,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,14.9044472166272,14.2559581280458,15.5785349169968,"Abudefduf sexfasciatus","Gambiers"
6,14.8134494341569,14.0738965498907,15.6426708640239,14.9519893413627,14.2828304695028,15.6624142002234,"Abudefduf sexfasciatus","Gambiers"
7,14.8284666397466,14.0828268194097,15.671651280068,14.9688736398003,14.3008837435325,15.6934563501069,"Abudefduf sexfasciatus","Gambiers"
8,14.8337566966845,14.0869809191742,15.6828576624122,14.9749194434479,14.3038838623716,15.7041877628974,"Abudefduf sexfasciatus","Gambiers"
9,14.835636688175,14.0883653026278,15.6871677651331,14.9771017412122,14.3057931577919,15.7086499907781,"Abudefduf sexfasciatus","Gambiers"
10,14.836310539986,14.0885010691843,15.6888142738758,14.9778956855027,14.3064667473344,15.7103660752927,"Abudefduf sexfasciatus","Gambiers"
11,14.8365540834066,14.0885327892304,15.6894503083019,14.9781867657856,14.3067012392674,15.7110260597073,"Abudefduf sexfasciatus","Gambiers"
12,14.8366428161603,14.0885417076949,15.6896960367436,14.9782942922847,14.3067828770334,15.7112798859574,"Abudefduf sexfasciatus","Gambiers"
13,14.8366753983696,14.0885442175862,15.6897909838231,14.9783343082242,14.3068113011023,15.7113775078012,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.455735648591739,-0.330956458813833,1.23460089448349,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,10.0493325435665,9.41809681270608,10.6966308738454,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,12.7030947946509,12.1156514042582,13.2741713860625,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,13.4532780845832,12.6338696195255,14.2471317158962,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,13.669775023988,12.7500658823802,14.6000171719309,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,13.7335016773143,12.7742781196897,14.7349346997184,"Abudefduf sexfasciatus","Gambiers"
6,14.8134494341569,14.0738965498907,15.6426708640239,13.7526183117767,12.7788951772847,14.7749961839848,"Abudefduf sexfasciatus","Gambiers"
7,14.8284666397466,14.0828268194097,15.671651280068,13.758457796536,12.7798976662516,14.792092117206,"Abudefduf sexfasciatus","Gambiers"
8,14.8337566966845,14.0869809191742,15.6828576624122,13.7602727651614,12.780115334066,14.794723942006,"Abudefduf sexfasciatus","Gambiers"
9,14.835636688175,14.0883653026278,15.6871677651331,13.7608462948345,12.7801625957441,14.7958114501633,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.433999051501971,-0.311515965708971,1.1813771579394,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,10.0378963768262,9.37769330825191,10.7180405350057,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.0418976375181,12.4880101890532,13.5788777613693,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,13.9956027525528,13.2461983702232,14.6508807229296,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,14.302743800864,13.4235340794255,15.1029014422732,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,14.4030298162268,13.4703437215747,15.274970817269,"Abudefduf sexfasciatus","Gambiers"
6,14.8134494341569,14.0738965498907,15.6426708640239,14.4362122814902,13.4785444189959,15.3344224838502,"Abudefduf sexfasciatus","Gambiers"
7,14.8284666397466,14.0828268194097,15.671651280068,14.4473333019802,13.482542829,15.3642889472765,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.410664789108671,-0.293261994183064,1.10819358600783,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,9.97846054481578,9.27131358177068,10.7184032507112,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.3667779793471,12.8050543638125,13.9783686726312,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.5807070384139,13.9098658634678,15.3206590527809,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,15.0205552855553,14.2134337306872,15.9211967888218,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,15.1816874748272,14.3082890881077,16.1862094778078,"Abudefduf sexfasciatus","Gambiers"
6,14.8134494341569,14.0738965498907,15.6426708640239,15.2413508343093,14.3375461328564,16.3108672209099,"Abudefduf sexfasciatus","Gambiers"
7,14.8284666397466,14.0828268194097,15.671651280068,15.2636743098024,14.3478759393621,16.3619022833053,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.432631581867348,-0.313304558219755,1.17847501817148,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,10.033998019051,9.37289574584805,10.7152602608172,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.0683760599083,12.5064059441009,13.6376193301503,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.04244081317,13.2556799660377,14.7771162278465,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,14.3598431059634,13.4302131500079,15.2331976935679,"Abudefduf sexfasciatus","Gambiers"
5,14.7704308807209,14.0463305341263,15.5707518813345,14.4647722168688,13.484280953654,15.4284766939588,"Abudefduf sexfasciatus","Gambiers"
6,14.8134494341569,14.0738965498907,15.6426708640239,14.4999472485831,13.4957831060957,15.486137605965,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.405265747122047,-0.296594355856326,1.10500840199598,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,9.95446489726199,9.2151063508178,10.7019811467755,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.449313099324,12.7413300347978,14.3390219063497,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.7521969964062,13.7189142420559,16.199879527817,"Abudefduf sexfasciatus","Gambiers"
0,0.422891464269668,-0.301268980341052,1.14876965315076,0.410455567315701,-0.296217227295077,1.11658733239426,"Abudefduf sexfasciatus","Gambiers"
1,10.0229699760521,9.3580787102987,10.723966415543,9.98100750292387,9.26989885658589,10.7206540813155,"Abudefduf sexfasciatus","Gambiers"
2,13.2122112307224,12.7237578620025,13.7347061849871,13.3741539729816,12.7359872801339,14.0968443577781,"Abudefduf sexfasciatus","Gambiers"
3,14.2829052723732,13.7268146754285,14.903445425134,14.5955184513115,13.73479776298,15.6563871340055,"Abudefduf sexfasciatus","Gambiers"
4,14.6460433799627,13.9799706753697,15.3891651685388,15.0416516828953,14.0075195172564,16.349879626806,"Abudefduf sexfasciatus","Gambiers"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.272888928051164,0.0794242140877555,0.481119536079865,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.60842053389025,3.28291796583899,3.88954752229294,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.86606799843833,4.58674909883329,5.13688869725696,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,5.35286668090508,4.88905811976786,5.81307266297313,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.312617618853651,0.0907632313856315,0.539275310897408,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.66700054745561,3.4344129939813,3.88738173169798,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.60402477477404,4.27740480276051,4.89804024728923,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,4.8774068854021,4.40652329410768,5.37875291550862,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.281556212714079,0.0814833676773184,0.493208676491553,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.63475079444499,3.35646751640405,3.8914556346519,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.81961503461651,4.61514169917932,5.01480510810072,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,5.24559030079638,4.93973946786817,5.52864524361572,"Chromis iomelas","Moorea"
4,4.95415624485473,4.29095060779548,5.56555905947483,5.40133575164003,5.02224889143122,5.78855185087183,"Chromis iomelas","Moorea"
5,4.98060135572341,4.29289604194922,5.64000490973874,5.45922780471025,5.04698836728502,5.90824144171958,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.29734100492913,0.089861040786168,0.518201982496469,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.64874073149437,3.35525389734258,3.89109633241049,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.70145700667535,4.37816718140084,4.97754341081168,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,5.04743666460719,4.5302192466026,5.58299440726647,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.291108820217847,0.0871128380814261,0.502755421375948,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.6509425471956,3.38746201664173,3.90046325586807,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.76243135733309,4.46375156054769,5.02872421264525,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,5.14125755723998,4.6743495766167,5.59276191347012,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.361565895194971,0.108531689236923,0.613473951363839,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.61483632742627,3.40733937044864,3.82212603646545,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.21329080961336,3.8279510318807,4.59655296170838,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,4.33301198439079,3.86844426697063,4.85335470802559,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.420860623005487,0.128779037743971,0.724176788462326,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.42417755608491,3.16996247550312,3.67291716118349,"Chromis iomelas","Moorea"
